subject,sessionIndex,rep,H.period,DD.period.t,H.t,DD.t.i,H.i,DD.i.e,H.e,DD.e.five,H.five,DD.five.Shift.r,H.Shift.r,DD.Shift.r.o,H.o,DD.o.a,H.a,DD.a.n,H.n,DD.n.l,H.l,DD.l.Return,H.Return
1,1,16,127,183.9,91.1,138.1,89.5,177.4,73.9,606.9,78.1,804.7,130.5,202,120.4,174.6,133.8,152.1,77.4,195.4,94.2,264.3,63.1
1,1,17,101.6,179.9,79.2,143.4,76,141.2,83.7,838.1,115.9,852.5,115.4,370.1,100,153.1,164,118.6,91.4,195.4,105.3,238.5,77.1
1,1,18,105.6,175.5,78.1,139.1,89.8,161.3,82.6,770,71.8,694.7,131,486,69.2,160.9,126.2,69.7,77.2,194.4,116.9,297.6,81
1,1,19,117.7,223.7,83.7,188,91.9,180.3,81.8,778.4,93.2,563.5,101.4,295.4,56,216,90,13.5,116.2,252.6,89.5,656.5,87.4
1,1,20,102.7,178.1,72.9,141.8,79.2,154.4,74.4,614,91.9,733.2,110.1,252.9,108,229.7,89.8,312.8,105.3,706.7,129.9,306.3,78.4
1,1,21,101.6,137.4,86.1,162.9,77.4,152.1,74.7,716.5,93.2,573.9,91.9,250.3,24.6,302.6,139.6,162.4,77.9,204.8,90.3,248.5,87.6
1,1,22,107.2,221.7,72.6,134.9,76.8,171.6,74.7,767.4,88.2,555.4,111.2,260.9,93.2,140,125.9,137.3,84.5,200.9,92.7,265.4,82.1
1,1,23,124.3,184.1,76.8,156.8,85,153.9,82.6,855.8,68.6,531.8,107.8,298.9,79.2,156.6,116.1,136.2,67.9,266.6,122.2,413.4,70
1,1,24,124.1,201.9,82.9,174.5,73.4,131,78.7,862.2,72.3,600.2,120.6,264.2,82.9,287.5,130.7,141.3,84.5,250.5,81.3,309.2,82.1
1,1,25,109.8,156.7,76.8,164.2,60.5,163.7,75.5,632.6,91.9,741.4,125.7,350.6,41.5,321.8,158.4,204.4,121.7,548.7,113,294.2,92.1
1,1,26,91.6,169.1,81.8,150.2,72.1,146.3,84.5,1163.5,71.8,687.8,132.2,405.4,77.4,193.1,82.6,491.4,110.3,335.9,114.6,250.7,107.7
1,1,27,127.2,195,82.4,144.2,77.6,152.6,90.8,625.7,80.5,516,112.7,214.6,65.5,266.7,152.6,203.3,86.9,709.9,111.9,322.1,59.4
1,1,28,87.4,172.6,74.7,124.3,75.8,149.2,71.5,650.5,82.4,783.1,104,214.3,59.9,111.7,119,169.5,101.4,253.7,102.2,402.4,87.9
1,1,29,94.8,197.9,76,141.2,77.6,145.2,78.7,882,80,659.3,120.1,360,99.3,189.9,161,171.6,78.1,224.3,106.6,458.8,92.4
1,1,30,119.6,135.6,89,166.6,74.2,117.8,85,654.7,82.4,506.3,119.6,260,87.4,113.1,144.4,187.2,82.1,351,120.9,291.8,102.4
1,1,31,96.1,233.3,92.9,223.3,87.9,206.4,69.4,810.9,67.3,434.2,100.6,347.1,87.6,148.1,141.5,162.9,82.1,212.5,97.1,278,57.8
1,1,32,117.2,173.1,73.7,132.3,85.5,151,70.8,1087.5,94.8,581,129.9,245.3,100.3,119.1,132.5,175.6,93.4,251.5,80.5,463,71.5
1,1,33,122.5,262.6,75.5,132.8,85.5,153.9,73.7,740,74.4,513.3,118.3,237.1,99.8,172.7,114,171.9,78.4,214.6,86.9,298.4,59.1
1,1,34,102.2,230.9,73.4,136.2,78.9,134.9,73.4,649.5,74.7,820.5,71.8,601.4,103.2,142.9,147.5,336.5,120.9,325.4,105.6,308.2,54.1
1,1,35,113,205,88.2,150,86.1,158.2,81,896.1,78.1,410.4,118.6,215.5,88.4,107.5,123.5,211.2,92.4,279,96.9,258.3,73.1
1,1,36,118.5,201.3,86.1,141,80,145.2,65.5,791.7,60.7,880.4,112.8,254,73.7,104.1,104,160.3,80.8,237,111.4,536.4,66
1,1,37,112.2,595.3,85.5,193.2,75.2,162.6,62.8,739.4,71.3,669.6,117.2,221.2,78.1,149.7,116.9,291.4,105.1,267.1,101.4,224.8,102.2
1,1,38,118.5,185.5,85.8,139.9,93.2,165.3,76.3,1079.4,67.6,419.7,112.8,322.1,76.6,117.6,130.7,175.9,70.8,231.8,97.4,304.4,83.4
1,1,39,120.9,186.8,81.6,153.9,78.4,147.8,83.7,688.2,73.1,407.2,107,162.5,82.1,99.6,114.8,205.1,96.4,292.5,99.5,286.8,73.1
1,1,40,116.1,214.5,75.5,145.2,90,163.1,80,909.9,71.3,583.3,120.4,245.8,84.2,176.1,138.8,189.5,76.6,286.4,82.1,333,79.2
1,1,41,94.5,240.4,81.8,147.5,71.5,127.7,85,765,87.9,460.4,127.3,186.2,94.2,104.1,133.6,173,81.3,227.8,97.9,306.3,76
1,1,42,99.3,139.6,77.9,177.4,69.2,180.1,94,1043.6,81.8,460.8,119.7,180.4,87.6,98.5,133,187.2,83.4,242.8,98.2,256.7,80.3
1,1,43,115.4,203.7,83.4,152.3,77.6,138.1,96.1,621.7,85.3,453.8,112.2,190.6,89,99.7,146,231.6,100.3,299.5,109,305.2,104.8
1,1,44,120.9,194.7,76.8,154.4,79.7,139.6,88.2,1025.5,65.7,437.3,145.8,782.6,74.7,333.1,106.4,295.9,114.6,301.2,107.4,359.8,58.6
1,1,45,104.3,314.5,97.1,179.7,97.9,207.7,80.3,882.2,99,497.8,119,280.3,85.5,157.9,140.7,222,90,265,100.3,501,76.8
1,1,46,113.8,190.8,71,140.7,97.4,149.9,85.5,786.9,68.9,496.2,123.6,328.1,98.5,137.9,118.5,171.9,80,240.4,97.9,273,88.7
1,1,47,144.6,196.3,91.1,182.7,93.4,127.2,80.8,1273.8,96.4,751.2,116.2,275.1,92.4,213.1,135.1,256.3,84.2,252.6,84.2,287.3,77.6
1,1,48,77.6,499.5,99.8,156.8,89.2,181.1,68.4,654.7,83.9,428.9,115.7,272.5,91.3,139.4,109.5,199.3,77.9,216.4,94.2,291,83.9
1,1,49,102.9,229.2,77.4,166.9,84.5,137.6,90,774.5,99,487.5,122,216.2,93.4,98.5,133.8,206.4,74.7,206.1,85,226.3,91.3
1,1,50,121.7,212.7,84.2,220.9,82.1,179.8,99.5,1303.6,80,787,120.9,262.9,98.5,121,144.6,160.8,79.5,239.7,95.6,297.1,94.5
1,2,1,144.6,462.8,80.3,142.9,118.3,179.8,94.2,1441,74.2,979.4,117.5,274.3,127.5,164,132.5,172.2,92.9,177.3,138.6,300,86.6
1,2,2,109,234.3,65.2,98.7,75.5,110.6,81.8,627.5,76,798.3,100.3,236,107.7,114.1,100.3,140.7,76,161,97.9,231.1,72.1
1,2,3,97.7,195.3,86.9,130.5,81.6,137.8,70.2,893.8,66,708.1,139.6,327,81.8,119.1,87.4,127.1,74.7,188.7,86.9,217.4,69.7
1,2,4,97.7,197.6,75.8,121.8,70.2,124.6,72.3,591.9,68.9,862.7,123.5,269.2,124.3,152.4,118.8,125.5,71.3,187.1,93.2,242.5,74.4
1,2,5,105.6,189.7,82.1,121.7,70,140.2,65,583.8,81,445,96.4,200.4,70.5,88.3,104.5,112.7,77.4,151.3,94.5,219,79.7
1,2,6,91.1,113.2,82.1,120.7,68.4,252.6,69.7,877.7,71.5,438.9,110.1,170.3,87.9,125.7,107.7,108.8,72.6,167.6,96.4,290,85.5
1,2,7,85.5,179.6,73.1,82.9,80.8,168.2,71.5,649.9,89.8,434.3,102.4,188.7,86.1,140.8,88.2,68.7,67.3,254.9,81.6,345.1,76.3
1,2,8,95.8,169.6,89.2,130.1,70,171.4,78.4,769.2,82.6,695.2,110.4,160.3,85,164.3,106.1,75.5,70,187.7,110.9,289.2,85
1,2,9,113,145.7,84.2,171.1,58.1,113,78.7,698,87.6,440.2,101.4,184.6,86.3,140,105.9,184.9,70.5,215.6,102.2,274.4,78.1
1,2,10,99.5,194.2,80.5,151.8,60.2,116.7,71,518.5,76.6,734.6,114.9,184.9,65.7,451.6,117.7,337.1,131.4,288.4,87.4,303.4,57.8
1,2,11,119.8,207.9,75.5,278.7,72.6,165.5,72.9,800.9,82.4,422.4,99.8,194.8,79.7,140.8,114.8,208,87.4,243.4,89,263.6,86.6
1,2,12,109.8,200.2,82.6,141.7,70.2,146,73.7,604.4,60.2,486.2,103,278.3,44.4,296,135.9,173.4,70.5,228,83.2,251.7,78.1
1,2,13,110.6,243.5,87.6,136.5,83.9,184.2,73.9,848.7,72.6,435.5,97.1,255.7,84.7,231.5,129.6,184.6,69.7,201.1,77.4,232.2,65.7
1,2,14,107.7,209,76.6,132.1,60.7,190.6,82.4,1435.6,85.5,440.3,107.5,236.8,91.6,208.9,96.4,141.1,62.6,179.2,90.3,303.2,87.6
1,2,15,110.6,208.4,85.3,143.9,57,158.6,96.4,700.9,87.4,475.2,115.4,305.4,101.9,195.2,126.2,129.2,72.1,186.9,82.9,206.3,70.8
1,2,16,101.6,163.3,83.7,143.9,68.4,133.9,79.7,786.1,79.2,474.9,106.9,222,97.4,185.4,111.4,136.8,70.8,196.7,81.3,205.2,91.9
1,2,17,112.2,162.3,82.9,148.9,69.7,123,89.5,645.5,88.7,525,126.8,382,104.3,245.3,120.6,146.3,67.3,182.6,97.7,232.4,77.6
1,2,18,101.6,151.1,81.6,138.1,72.3,143.8,97.1,855.8,69.2,651.7,113.6,379.1,106.4,357.7,120.4,161.6,82.4,225.4,86.3,234.5,80.5
1,2,19,92.7,216.7,78.7,125.7,75,159.5,84.7,901.1,83.4,467.7,108.8,329.4,93.2,191.5,113.5,166.9,63.4,174.2,96.4,335.1,102.9
1,2,20,110.6,194.2,82.1,121.7,73.1,131.2,85.3,837.2,64.2,391.5,119.4,340,100.3,154.8,133,142.3,64.2,164.2,99.3,238.3,66.8
1,2,21,109.3,218,66.8,119.6,67.1,143.9,87.1,688.5,72.6,386.4,112.2,234.9,80.8,167.2,116.9,145.2,64.4,166.8,85.5,224.7,77.6
1,2,22,117.2,192.9,73.7,110.7,80.3,138.7,81.6,527,85,432.6,105.1,189.8,89.5,130.5,109.8,145.5,65.7,159.9,87.4,196,83.4
1,2,23,105.6,238.5,94,179.8,69.4,210.9,78.9,780.3,81.8,392.4,105.6,192.5,91.3,144.4,104.3,119.1,71.3,165,98.2,229.5,84.2
1,2,24,94.8,182.1,94.8,162.9,69.7,122.8,81.8,602.4,67.9,355.9,116.7,215.4,102.7,165.6,107.2,118.4,68.6,167,93.7,210.2,79.7
1,2,25,107.4,152.5,87.1,144.7,71.3,124.1,86.3,542.3,83.4,404.2,98.8,185.9,92.4,132.6,101.6,120.4,66.8,173.4,85.8,208.9,88.4
1,2,26,98.2,194.7,93.4,153.6,65.7,136.7,88.2,561.3,83.4,405.2,97.5,172.2,93.7,140.5,103.5,130.5,69.2,167.4,98.2,1266.3,130.1
1,2,27,114.8,189.7,78.4,139.7,64.2,154.7,76.6,713.3,83.2,385.8,106.4,227.3,95,137.6,107.4,118.6,73.4,193.7,109.3,258,80
1,2,28,130.1,192.3,82.4,128.4,77.9,126.2,89.2,640.2,66.3,383.9,117.5,161.6,106.6,132.3,92.9,133.1,72.3,175,97.1,244.2,82.4
1,2,29,110.9,200,90.5,139.1,77.1,165.3,87.1,624.4,73.4,426.8,119,163.1,98.2,176.9,107.2,126.5,65,179,95,228.7,85
1,2,30,96.4,157,75.2,134.1,72.9,134.4,86.3,501.9,98.2,454.8,88.8,222.4,90.3,144.2,109.8,118.3,65.7,162.5,96.9,207.4,101.6
1,2,31,133.3,160.7,91.1,161.6,69.4,119.8,95.8,496.9,98.2,422.1,100.9,145.3,103.5,152.9,104.3,101.7,67.8,157.8,96.6,234.2,77.4
1,2,32,104.3,206.4,94.8,145.5,76,141.5,80.5,814.9,71.8,425.2,117.7,198.5,92.4,163.2,106.1,133.6,65.2,162,92.4,201.5,90.8
1,2,33,103.2,187.6,84.5,137.8,74.4,134.9,90.3,549.2,80.8,496,98.2,259.7,81.3,134.2,112.7,133.4,66.5,183.9,93.7,252.5,78.7
1,2,34,110.6,163.8,82.9,139.9,68.9,132.8,94.8,573.7,93.4,443.4,113.8,225.2,101.9,150,110.1,122.3,65.7,172.3,93.2,212.9,87.9
1,2,35,105.9,145.7,89.2,147.6,76,140.4,93.7,739.2,73.7,398.4,109.9,139.8,85.8,144.2,113.2,114.9,75,175.8,100,270.1,92.9
1,2,36,104.5,166.4,89.5,152.6,72.9,180.6,99.5,810.7,112.2,455.1,117.2,387.7,98.5,185.9,122.8,118.8,74.3,189.6,112.4,263.5,83.7
1,2,37,108,159.4,83.9,133,73.9,134.6,94.5,827.6,59.1,382.2,118.8,242.6,110.9,235.6,118.5,138.9,69.2,191.4,85.3,207.9,91.3
1,2,38,97.9,163,77.1,126,77.1,137.8,92.7,599.1,94,385.2,123,265.3,85.5,125.4,146.3,132,66.6,188.8,92.9,275.4,94.8
1,2,39,105.1,177.9,85.3,128.1,66.3,136,81.6,513.6,71.8,431.1,98.5,177.4,81.6,157.4,118.5,146,70,183.2,90.8,218.4,93.2
1,2,40,109.5,175.7,87.6,141.2,73.1,128,90,436.5,87.9,426.5,112.8,162.7,86.6,140.3,104.5,121.7,62.8,170.2,81.8,213.1,76
1,2,41,112.7,212.6,80.3,185.6,62.8,120.6,86.6,463.2,83.4,401,112.8,171.7,90.5,133.4,98.5,115.5,70.5,166.6,94,228.2,73.4
1,2,42,117.2,349.6,89.2,133.3,93.4,197.1,98.7,725.4,83.9,492.2,102.5,187.8,65.7,98.3,110.6,143.9,69.7,171.6,92.9,232.4,81
1,2,43,106.9,158.8,80.8,150.2,77.4,120.4,97.9,451.5,82.6,956.1,108.2,263.1,82.9,144.2,118.3,110.6,56.9,168.3,89,231.4,81.6
1,2,44,94.8,138,79.7,130.1,74.4,111.6,87.4,471.1,80.3,377.5,113,178,76.3,121.3,119.3,113.8,68.6,181.5,78.9,223.7,83.7
1,2,45,101.6,185.4,78.7,139.2,68.6,124.8,89,466.1,77.1,438.2,113.8,186.7,84.5,224.7,106.6,132.8,65.2,182.1,84.2,217.9,76.6
1,2,46,108,175.8,93.2,139.2,77.1,139.9,88.4,508,89.5,411.5,112.2,412,89,167.5,118,140.5,70.8,190.1,82.6,217.1,75.5
1,2,47,105.3,171.5,83.9,121.9,71.8,151.3,94.2,617.7,87.6,366.3,123.9,175.9,72.6,175.6,122,112,72.3,198.7,72.3,233.7,94.2
1,2,48,105.9,188.2,91.3,130.9,71.8,157.6,86.1,488.3,91.3,421.8,102.7,221,87.6,169,94.2,105.1,68.6,218,71.5,357.2,106.9
1,2,49,126.2,271.5,93.4,174.4,72.1,150,91.1,531.5,85,356.1,117.5,275.9,89.5,146.6,114.6,127.9,63.9,180.8,87.1,219.2,82.1
1,2,50,104.8,150.4,90.3,153.9,77.1,120.9,93.4,490.3,88.4,389.8,110.6,293.5,96.4,149.8,130.1,114.3,64.4,188.2,81,208.9,79.7
1,3,1,113.8,560.2,85.5,296.6,94.2,168.1,79.5,873,70.5,487.8,103.5,247.4,68.9,164.8,114,166.1,85,194.8,91.9,239.6,72.9
1,3,2,109.8,185.5,72.6,120.4,67.3,121.7,75,777.7,78.9,454.5,113.2,250.7,81.8,132,106.4,113.9,74.7,160.5,88.2,240.9,72.1
1,3,3,110.3,224.2,66.8,98.2,56.8,129.4,72.3,718.8,74.4,364.2,98,199.1,103.2,151.9,122.5,124.4,66,196.6,73.1,401.5,95.8
1,3,4,104,160.4,71,104.8,62.6,116.7,66.5,433.6,74.7,401.5,84.2,184.8,70.8,102.3,94.5,116.7,60.7,165.5,77.1,205,58.9
1,3,5,109,231.9,76,141.5,61.8,105.4,71.5,502.2,70.5,324.2,107.5,229.7,91.9,160.6,115.6,133.6,81.3,180.3,78.4,224.8,67.9
1,3,6,129.6,206.1,79.7,138.3,63.9,105.6,81.6,517.8,80.5,368.8,98.8,174.6,81,144.7,98.2,129.1,73.7,188.5,79.7,198.3,74.4
1,3,7,99.8,186.6,78.9,131.2,62.8,117.2,85,425.9,64.7,1736,107,245.6,85.3,171.4,120.9,96.9,82.4,169.2,92.1,224.5,71.3
1,3,8,92.7,158.6,75.2,139.1,71,116.4,78.9,506.1,80,394.2,98.2,215.7,78.9,118.1,96.9,114.1,54.9,146.5,81,190.9,61
1,3,9,100.3,139,85.8,144.9,67.1,118.6,80,570.6,91.6,369.8,99.6,249,85.3,151.4,137.5,78.7,90.5,186.8,103.5,286.5,98.5
1,3,10,64.7,547.3,80.3,184,60.2,95.3,75,413.3,87.4,338.5,91.3,173.7,84.5,107.3,100.1,98,73.4,149.7,96.4,217.2,76.6
1,3,11,96.9,189.2,91.1,145.8,71,137.3,75.5,446.8,70.8,332.4,106.9,166.8,84.2,147.9,96.4,82.9,60.8,150.8,82.9,198.9,68.1
1,3,12,92.7,194,80.8,135.7,60.2,111.2,75.5,371.3,90.8,390.6,109.6,209.6,89.8,183.6,109.6,75.3,76.6,172.1,88.4,236.1,70.5
1,3,13,99.5,491.8,91.1,278,60.5,114.1,80,497.2,72.3,378.8,102.4,289.3,132,280.7,121.9,142.3,75,177.7,85.3,251.4,78.4
1,3,14,110.3,173.6,77.9,152.3,73.7,228.1,94.5,648.1,80.3,364.8,90.8,219.1,90,181.9,111.5,90.1,72.1,172.4,93.4,245.8,61.8
1,3,15,154.1,173.3,76.8,173.4,71.8,126.2,79.2,431.5,68.9,364.3,87.7,156.1,78.9,137.1,97.4,76.6,76.8,190,93.4,311.8,98.7
1,3,16,111.7,157.3,83.4,178.2,69.4,118.3,97.9,656.8,104.8,361.1,81.4,196,76.6,148.5,99.3,83.7,75.3,176.4,90.8,238.2,46.9
1,3,17,120.4,174.2,81,165.7,77.4,152.4,85.8,573.2,80.8,366.5,91.6,225.4,67.1,223.7,117.5,193,85,187.9,87.1,200.5,73.1
1,3,18,96.4,91,90.8,177.7,64.2,108.6,89.5,548.7,87.9,429.8,111.9,142.5,90.8,171.1,102.2,90.1,88.2,200.1,84.2,440.1,122.7
1,3,19,120.9,196,93.4,141.2,80.8,120.2,77.4,439.4,94.8,393.3,115.1,151.3,88.4,150.8,114.3,110.9,85,216.7,80,228.5,88.2
1,3,20,102.9,132.1,82.4,156.8,63.9,113.5,95,447.3,94.5,536.1,108.6,324.2,102.7,343.5,141.7,170.8,74.7,192.9,104,254.6,98.2
1,3,21,108.2,155.4,76.6,205.9,68.6,1016.2,101.4,707.8,75.2,357.7,104.4,164.1,85.8,129.4,103.8,90.1,77.4,175.8,100.8,225.8,91.3
1,3,22,98.5,134.1,71.5,168.4,63.6,419.6,105.6,489,81,362.4,91.9,178.2,79.7,133.1,98,87.7,67.6,168.9,88.7,206,90.3
1,3,23,98.2,148.3,76,172.4,71,148.6,90,743.6,88.2,472.3,104.1,181.5,80.5,130.7,108,105.6,72.4,189.8,82.9,241.4,64.2
1,3,24,92.1,644.1,92.7,252.6,77.1,141.8,87.1,503.2,74.2,331,85.8,153.1,78.9,133.1,101.4,87.7,71.6,188.8,93.2,253.8,87.9
1,3,25,107.2,156,78.7,164.2,69.4,175.3,89.8,433.9,73.4,407.6,95.6,150.8,77.9,127.6,106.9,110.9,67.6,193.7,100.6,234.8,96.4
1,3,26,111.7,126.7,81.6,170.8,74.2,73.1,86.9,683.8,78.1,461.4,102.8,148.2,82.4,143.7,108.3,82.4,68.5,176.7,93.7,230.6,77.6
1,3,27,94.8,166,67.6,111.7,76.3,117,77.4,463.5,97.7,367.7,87.7,120.5,81.3,152.9,113,91.6,81.1,209.9,92.7,263.9,81
1,3,28,96.1,143.3,89.8,167.2,67.9,129.9,87.4,485.1,107.4,381.4,91.1,127.6,81.6,179.1,109.6,83.5,70.2,268.9,109,273,83.9
1,3,29,80.5,117.9,82.9,188,69.5,42.3,87.1,678.2,90,392.3,108.3,132.3,84.5,182.2,128.3,127,80.5,211.7,96.9,252,85.5
1,3,30,95,127.4,97.1,192.7,64.7,111.7,95,413.2,94,467.2,107.4,193.2,88.7,142.6,113.5,154.5,73.7,205.1,86.6,241.4,77.4
1,3,31,87.1,135.3,83.9,157.6,75,121,92.7,495.4,101.1,427.4,87.7,172.2,91.3,142.9,116.9,77.6,98.2,206.7,93.2,220,82.9
1,3,32,95.3,103.2,105.1,187.5,71.8,96.9,78.9,427.5,100.8,404.6,98.5,108.6,81,183.2,121.5,104.3,70.3,186.1,87.4,202.1,92.9
1,3,33,105.1,199.2,93.2,164.5,69.7,127.8,89.8,601.7,82.6,365.1,75.8,245.8,80,135.8,109.5,135.2,76.3,201.4,87.9,220.8,74.2
1,3,34,107.4,149.8,82.4,151.3,71.8,89.3,100.8,399.2,95.6,893.4,111.7,254.5,88.7,130.8,118.3,122.6,70.2,160.2,96.4,246.7,78.7
1,3,35,92.4,117.9,81,156,70.2,94.2,86.3,420.6,105.3,386.4,116.2,162.2,86.9,183.8,132.8,119.3,102,230,97.4,248.2,59.1
1,3,36,101.1,125.3,96.1,213.8,62,81,119.8,593.5,86.6,375.4,82.2,140.6,81.6,166.1,113.1,109.1,41.5,146.3,97.1,222.9,74.7
1,3,37,73.1,148.2,88.2,263.5,88.7,123.3,99.8,913.1,76.8,367.4,90.3,162.9,96.1,156.9,113,111.4,74,187.5,110.3,280.1,99.3
1,3,38,100,128.4,82.9,222.3,85.8,166.6,96.6,392.9,94.8,432.4,130.5,324,86.6,187.8,102.7,161.3,73.7,195.1,91.6,220.5,80.3
1,3,39,133,237.7,80.5,175.8,63.1,133.1,96.1,457.4,92.9,404.2,94.6,168.8,81.3,136,120.2,101.7,75.3,193,85.8,216.6,65.7
1,3,40,89.8,121.4,86.1,193,67.6,112.2,92.7,593.5,78.1,494.7,100.4,217.1,96.4,142.9,119.3,142.1,70.8,188.5,85.8,215.8,76.3
1,3,41,75.2,202.9,118,219.6,79.7,299.5,103.5,629.4,80.8,363,98.5,230.7,101.6,180.6,107.2,114.4,80.8,191.6,96.1,270.2,104
1,3,42,108.5,175.7,87.6,190.3,76.8,108.2,95.3,389,102.4,421.8,105.1,178.8,87.1,133.9,125.9,103.2,71.6,171.1,92.4,211.6,75
1,3,43,97.1,126.9,88.7,205.9,69.2,127,104.8,436.5,112.2,437.6,107.2,191.4,84.2,140.2,116.8,114.9,76.4,168.8,93.4,226.3,59.7
1,3,44,105.1,164.9,86.1,185.1,70.5,104.6,99.3,441.8,103.2,426.6,98.8,177.2,97.1,151.8,111.4,110.1,75.3,183.2,96.9,241.9,78.4
1,3,45,105.3,165.9,95.8,223.8,68.6,154.9,98.7,524.6,105.1,403.9,111.5,206.3,122.2,200.7,109.5,140.7,82.4,209.6,92.7,232.2,89.5
1,3,46,86.9,170,93.2,252.9,84.5,186.9,85.5,528.8,83.4,342.7,103.5,174.5,98.2,156.4,104.3,68.1,89,202.7,94.8,226.6,95
1,3,47,108,136.4,84.5,174,73.9,112.2,94.2,349.1,102.2,400,114.8,209,88.4,148.7,111.1,99,76,183.7,83.2,208.7,68.1
1,3,48,97.7,153.6,89.2,139.9,67.9,137.3,92.7,386.7,101.6,455.1,119.4,253.2,97.9,223.1,130.7,143.4,77.6,191.9,98.5,257.5,83.4
1,3,49,98.7,145.6,84.7,206.6,102.7,179.3,99.8,528.3,95,392.2,108.8,201.7,99.8,146.6,118,99.8,75,189.5,91.1,228.5,85
1,3,50,100.8,134.5,86.1,165,78.7,132.6,94.8,395.6,85.8,432.1,111.2,204.9,87.6,156,114.4,100.9,87.2,189.6,92.7,213.2,80
1,4,1,115.9,193.7,67.9,85.9,79.2,101.7,68.4,474.5,80.3,348.3,108.5,193.5,79.5,133.2,91.7,88.5,97.7,191.6,87.4,220.3,54.9
1,4,2,100.8,162.2,72.3,123,74.4,126.4,74.4,395.3,89.2,399.9,105.1,251.3,82.4,135.3,107.7,103.5,88.2,189.3,79.7,203.4,61.3
1,4,3,102.4,162.2,94.8,129.4,68.9,130.9,95.8,417.5,85.5,382.2,107.5,170.3,86.1,123.4,98.5,81.9,78.4,167.1,78.4,209.7,75
1,4,4,114.8,158,82.4,115.7,68.6,144.9,87.9,477.9,73.9,360.8,97.7,149.5,86.1,162.2,101.9,47.3,83.4,196.1,78.7,211.1,60.5
1,4,5,103.2,131.9,82.1,139.7,60.5,96.2,82.6,422.2,83.7,420,112.5,225.2,90.5,132.3,103,87.7,99.5,202.7,81,206.2,65.5
1,4,6,101.4,137.2,82.9,114.1,73.7,119.4,83.4,446.2,81.6,341.1,99.3,143.4,71.8,138.7,118.3,33.6,83.4,219.1,96.4,255.7,76
1,4,7,106.9,160.7,86.1,118.6,63.9,121.5,85.3,415.4,90,410.2,110.6,232.3,89.5,165.9,92.9,33.8,100.1,270.6,111.1,263.8,68.9
1,4,8,111.4,197.1,79.5,109.9,79.5,145.2,91.1,588,96.1,567.8,97.7,232.6,111.4,183.5,79.3,11.7,74.8,224.7,103.2,290.7,90
1,4,9,103.7,149.6,68.1,83.4,90,115.1,81,335.6,87.9,366.4,90.3,155,99.8,196,139.9,138.6,127.8,269.2,106.6,253.2,66
